Time (CET/CEST),BZN|IE(SEM) > BZN|GB [MW],BZN|GB > BZN|IE(SEM) [MW]
18.01.2022 07:00 - 18.01.2022 08:00,841,0
18.01.2022 08:00 - 18.01.2022 09:00,839,0
18.01.2022 09:00 - 18.01.2022 10:00,810,0
18.01.2022 10:00 - 18.01.2022 11:00,810,0
18.01.2022 11:00 - 18.01.2022 12:00,810,0
18.01.2022 12:00 - 18.01.2022 13:00,808,0
18.01.2022 13:00 - 18.01.2022 14:00,781,0
18.01.2022 14:00 - 18.01.2022 15:00,781,0
18.01.2022 15:00 - 18.01.2022 16:00,781,0
18.01.2022 16:00 - 18.01.2022 17:00,781,0
18.01.2022 17:00 - 18.01.2022 18:00,777,0
18.01.2022 18:00 - 18.01.2022 19:00,727,0
18.01.2022 19:00 - 18.01.2022 20:00,596,0
18.01.2022 20:00 - 18.01.2022 21:00,565,0
18.01.2022 21:00 - 18.01.2022 22:00,538,0
18.01.2022 22:00 - 18.01.2022 23:00,394,0
18.01.2022 23:00 - 19.01.2022 00:00,265,11
19.01.2022 00:00 - 19.01.2022 01:00,52,58
19.01.2022 01:00 - 19.01.2022 02:00,123,16
19.01.2022 02:00 - 19.01.2022 03:00,542,0
19.01.2022 03:00 - 19.01.2022 04:00,453,0
19.01.2022 04:00 - 19.01.2022 05:00,491,0
19.01.2022 05:00 - 19.01.2022 06:00,530,0
19.01.2022 06:00 - 19.01.2022 07:00,625,0
19.01.2022 07:00 - 19.01.2022 08:00,540,0
19.01.2022 08:00 - 19.01.2022 09:00,567,0
19.01.2022 09:00 - 19.01.2022 10:00,693,0
19.01.2022 10:00 - 19.01.2022 11:00,623,0
19.01.2022 11:00 - 19.01.2022 12:00,351,0
19.01.2022 12:00 - 19.01.2022 13:00,166,0
19.01.2022 13:00 - 19.01.2022 14:00,0,51
19.01.2022 14:00 - 19.01.2022 15:00,0,88
19.01.2022 15:00 - 19.01.2022 16:00,0,208
19.01.2022 16:00 - 19.01.2022 17:00,27,16
19.01.2022 17:00 - 19.01.2022 18:00,125,8
19.01.2022 18:00 - 19.01.2022 19:00,311,0
19.01.2022 19:00 - 19.01.2022 20:00,262,0
19.01.2022 20:00 - 19.01.2022 21:00,274,0
19.01.2022 21:00 - 19.01.2022 22:00,233,0
19.01.2022 22:00 - 19.01.2022 23:00,232,31
19.01.2022 23:00 - 20.01.2022 00:00,23,26
20.01.2022 00:00 - 20.01.2022 01:00,20,76
20.01.2022 01:00 - 20.01.2022 02:00,0,316
20.01.2022 02:00 - 20.01.2022 03:00,0,306
20.01.2022 03:00 - 20.01.2022 04:00,0,236
20.01.2022 04:00 - 20.01.2022 05:00,0,355
20.01.2022 05:00 - 20.01.2022 06:00,0,278
20.01.2022 06:00 - 20.01.2022 07:00,0,84
20.01.2022 07:00 - 20.01.2022 08:00,31,0
20.01.2022 08:00 - 20.01.2022 09:00,18,45
20.01.2022 09:00 - 20.01.2022 10:00,225,104
20.01.2022 10:00 - 20.01.2022 11:00,203,16
20.01.2022 11:00 - 20.01.2022 12:00,13,16
20.01.2022 12:00 - 20.01.2022 13:00,16,86
20.01.2022 13:00 - 20.01.2022 14:00,0,76
20.01.2022 14:00 - 20.01.2022 15:00,0,52
20.01.2022 15:00 - 20.01.2022 16:00,51,73
20.01.2022 16:00 - 20.01.2022 17:00,16,184
20.01.2022 17:00 - 20.01.2022 18:00,0,188
20.01.2022 18:00 - 20.01.2022 19:00,0,223
